scene,target,resolved_target,success,visited_belief_goals,visited_reachable_points,total_actions,num_context_objects,anchor_searches,searched_anchors,error,returncode,save_dir,log_path
FloorPlan201,plant,house plant,True,0,1,15,10,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan201_plant,outputs/batch_spub_20260529_165941/FloorPlan201_plant/run.log
FloorPlan201,coffee table,coffee table,True,0,1,15,16,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan201_coffee_table,outputs/batch_spub_20260529_165941/FloorPlan201_coffee_table/run.log
FloorPlan201,book,book,True,0,1,54,14,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan201_book,outputs/batch_spub_20260529_165941/FloorPlan201_book/run.log
FloorPlan201,laptop,laptop,True,0,1,21,14,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan201_laptop,outputs/batch_spub_20260529_165941/FloorPlan201_laptop/run.log
FloorPlan201,remote control,remote control,False,50,1,684,134,50,50,,0,outputs/batch_spub_20260529_165941/FloorPlan201_remote_control,outputs/batch_spub_20260529_165941/FloorPlan201_remote_control/run.log
FloorPlan202,plant,house plant,True,0,1,22,5,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan202_plant,outputs/batch_spub_20260529_165941/FloorPlan202_plant/run.log
FloorPlan202,coffee table,coffee table,True,3,5,87,30,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan202_coffee_table,outputs/batch_spub_20260529_165941/FloorPlan202_coffee_table/run.log
FloorPlan202,book,book,True,0,1,14,5,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan202_book,outputs/batch_spub_20260529_165941/FloorPlan202_book/run.log
FloorPlan202,laptop,laptop,True,0,1,16,4,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan202_laptop,outputs/batch_spub_20260529_165941/FloorPlan202_laptop/run.log
FloorPlan202,remote control,remote control,True,0,1,19,12,1,1,,0,outputs/batch_spub_20260529_165941/FloorPlan202_remote_control,outputs/batch_spub_20260529_165941/FloorPlan202_remote_control/run.log
FloorPlan203,plant,house plant,True,0,2,41,23,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan203_plant,outputs/batch_spub_20260529_165941/FloorPlan203_plant/run.log
FloorPlan203,coffee table,coffee table,True,1,3,57,45,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan203_coffee_table,outputs/batch_spub_20260529_165941/FloorPlan203_coffee_table/run.log
FloorPlan203,book,book,True,0,1,19,10,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan203_book,outputs/batch_spub_20260529_165941/FloorPlan203_book/run.log
FloorPlan203,laptop,laptop,True,0,1,35,13,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan203_laptop,outputs/batch_spub_20260529_165941/FloorPlan203_laptop/run.log
FloorPlan203,remote control,remote control,True,4,1,63,40,5,5,,0,outputs/batch_spub_20260529_165941/FloorPlan203_remote_control,outputs/batch_spub_20260529_165941/FloorPlan203_remote_control/run.log
FloorPlan204,plant,house plant,True,0,1,50,6,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan204_plant,outputs/batch_spub_20260529_165941/FloorPlan204_plant/run.log
FloorPlan204,coffee table,coffee table,False,2,4,94,48,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan204_coffee_table,outputs/batch_spub_20260529_165941/FloorPlan204_coffee_table/run.log
FloorPlan204,book,book,True,39,1,608,103,40,40,,0,outputs/batch_spub_20260529_165941/FloorPlan204_book,outputs/batch_spub_20260529_165941/FloorPlan204_book/run.log
FloorPlan204,laptop,laptop,True,4,1,73,34,5,5,,0,outputs/batch_spub_20260529_165941/FloorPlan204_laptop,outputs/batch_spub_20260529_165941/FloorPlan204_laptop/run.log
FloorPlan204,remote control,remote control,True,0,1,28,27,1,1,,0,outputs/batch_spub_20260529_165941/FloorPlan204_remote_control,outputs/batch_spub_20260529_165941/FloorPlan204_remote_control/run.log
FloorPlan205,plant,house plant,True,0,2,24,8,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan205_plant,outputs/batch_spub_20260529_165941/FloorPlan205_plant/run.log
FloorPlan205,coffee table,coffee table,False,1,3,72,31,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan205_coffee_table,outputs/batch_spub_20260529_165941/FloorPlan205_coffee_table/run.log
FloorPlan205,book,book,True,0,1,21,10,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan205_book,outputs/batch_spub_20260529_165941/FloorPlan205_book/run.log
FloorPlan205,laptop,laptop,True,0,1,13,8,0,0,,0,outputs/batch_spub_20260529_165941/FloorPlan205_laptop,outputs/batch_spub_20260529_165941/FloorPlan205_laptop/run.log
FloorPlan205,remote control,remote control,False,50,1,607,85,50,50,,0,outputs/batch_spub_20260529_165941/FloorPlan205_remote_control,outputs/batch_spub_20260529_165941/FloorPlan205_remote_control/run.log
